code,shortName,name,phoneCode
AU,Australia,The Commonwealth of Australia,61
BR,Brazil,The Federative Republic of Brazil,55
CA,Canada,Canada,1
CH,Switzerland,The Swiss Confederation,41
DE,Germany,The Federal Republic of Germany,49
DK,Denmark,The Kingdom of Denmark,45
ES,Spain,The Kingdom of Spain,34
FI,Finland,The Republic of Finland,358
FR,France,The French Republic,33
GB,The United Kingdom,The United Kingdom of Great Britain and Northern Ireland,44
IE,Ireland,The Republic of Ireland,353
IN,India,The Republic of India,91
IR,Iran,The Islamic Republic of Iran,98
MX,Mexico,The United Mexican States,52
NL,Netherlands,The Kingdom of the Netherlands,31
NO,Norway,The Kingdom of Norway,47
NZ,New Zealand,New Zealand,64
RS,Serbia,The Republic of Serbia,381
TR,Türkiye,The Republic of Türkiye,90
UA,Ukraine,Ukraine,380
US,United States,The United States of America,1
